Accession ID	Collection date	Submission date	Location
EPI_ISL_805866	2020-04-11	2021-01-12	North America / Canada / Alberta
EPI_ISL_791566	2020-04-03	2021-01-09	North America / USA / Massachusetts
EPI_ISL_778766	2020-06-29	2021-01-07	Europe / Italy / Campania
EPI_ISL_806466	2020-04-28	2021-01-12	North America / Canada / Alberta
EPI_ISL_776366	2020-03-22	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_831066	2020-04-21	2021-01-15	Europe / Spain / Madrid / Madrid
EPI_ISL_776566	2020-03-12	2021-01-07	Europe / Germany / Schleswig-Holstein
EPI_ISL_814067	2020-06-19	2021-01-14	Europe / Turkey
EPI_ISL_825867	2020-04-20	2021-01-15	North America / Canada / Quebec
EPI_ISL_852667	2020-04-06	2021-01-20	Europe / Germany / Baden-Wurttemberg / Freiburg
EPI_ISL_778667	2020-04-14	2021-01-07	Europe / Italy / Campania
EPI_ISL_766767	2020-06-18	2021-01-05	North America / USA / Texas / Hays
EPI_ISL_812966	2020-03-18	2021-01-13	Africa / Mali
EPI_ISL_734666	2020-04-27	2020-12-24	Europe / Belgium / Kain
EPI_ISL_751366	2020-03-13	2020-12-30	Europe / Italy / Veneto / Verona
EPI_ISL_806366	2020-04-08	2021-01-12	North America / Canada / Alberta
EPI_ISL_826167	2020-05-07	2021-01-15	North America / Canada / Quebec
EPI_ISL_831067	2020-04-23	2021-01-15	Europe / Spain / Madrid / Madrid
EPI_ISL_802067	2020-05-04	2021-01-11	North America / USA / New York / Manhattan
EPI_ISL_729817	2020-04-03	2020-12-22	South America / Brazil / Rio Grande do Sul / Porto Alegre
EPI_ISL_754767	2020-03-30	2020-12-31	North America / USA / Georgia
EPI_ISL_815303	2020-06-12	2021-01-14	Europe / Germany / North Rhine-Westphalia / Greven
EPI_ISL_805268	2020-04-16	2021-01-12	North America / Canada / Alberta
EPI_ISL_816768	2020-04-16	2021-01-14	Europe / United Kingdom / England
EPI_ISL_805768	2020-04-28	2021-01-12	North America / Canada / Alberta
EPI_ISL_778668	2020-04-16	2021-01-07	Europe / Italy / Campania
EPI_ISL_746568	2020-06-25	2020-12-29	South America / Chile / Region Metropolitana de Santiago / Santiago
EPI_ISL_729968	2020-06-27	2020-12-23	Africa / Nigeria / Osun State
EPI_ISL_776568	2020-04-23	2021-01-07	North America / USA / Ohio
EPI_ISL_801668	2020-03-30	2021-01-11	South America / Chile / Region Metropolitana de Santiago / Santiago
EPI_ISL_849170	2020-05-14	2021-01-19	South America / Argentina / Ciudad Autonoma de Buenos Aires
EPI_ISL_805068	2020-04-22	2021-01-12	North America / Canada / Alberta
EPI_ISL_854539	2020-04-23	2021-01-20	North America / Canada / Alberta
EPI_ISL_806272	2020-04-16	2021-01-12	North America / Canada / Alberta
EPI_ISL_776469	2020-05-04	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_774969	2020-06-28	2021-01-07	Asia / Bangladesh / Dhaka
EPI_ISL_751374	2020-03-13	2020-12-30	Europe / Italy / Veneto / Verona
EPI_ISL_792521	2020-06-04	2021-01-10	South America / Argentina / Santa Fe / Villa Ocampo
EPI_ISL_791639	2020-04-05	2021-01-09	North America / USA / Massachusetts
EPI_ISL_849176	2020-05-17	2021-01-19	South America / Argentina / Ciudad Autonoma de Buenos Aires
EPI_ISL_775969	2020-03-11	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_775970	2020-03-11	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_805470	2020-04-17	2021-01-12	North America / Canada / Alberta
EPI_ISL_784280	2020-06-30	2021-01-08	North America / USA / Texas / Houston
EPI_ISL_735370	2020-06-01	2020-12-25	Europe / Turkey / Istanbul
EPI_ISL_854471	2020-03-29	2021-01-20	North America / Canada / Alberta
EPI_ISL_805171	2020-04-21	2021-01-12	North America / Canada / Alberta
EPI_ISL_831071	2020-04-24	2021-01-15	Europe / Spain / Madrid / Madrid
EPI_ISL_852671	2020-03-30	2021-01-20	Europe / Germany / Baden-Wurttemberg / Freiburg
EPI_ISL_859971	2020-05-03	2021-01-22	Asia / United Arab Emirates / Abu Dhabi
EPI_ISL_833565	2020-04-28	2021-01-18	Europe / Italy / Campania
EPI_ISL_751381	2020-03-17	2020-12-30	Europe / Italy / Veneto / Verona
EPI_ISL_734739	2020-05-17	2020-12-24	Europe / Belgium / Westerlo
EPI_ISL_791768	2020-04-13	2021-01-09	North America / USA / Massachusetts
EPI_ISL_754768	2020-03-30	2020-12-31	North America / USA / Georgia
EPI_ISL_735268	2020-04-30	2020-12-25	Europe / Turkey / Istanbul
EPI_ISL_826168	2020-05-07	2021-01-15	North America / Canada / Quebec
EPI_ISL_852668	2020-03-30	2021-01-20	Europe / Germany / Baden-Wurttemberg / Freiburg
EPI_ISL_776268	2020-03-27	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_792268	2020-05-19	2021-01-10	South America / Argentina / Ciudad Autonoma de Buenos Aires
EPI_ISL_826186	2020-05-13	2021-01-15	North America / Canada / Quebec
EPI_ISL_776468	2020-05-02	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_806540	2020-04-02	2021-01-12	Europe / Germany / Berlin
EPI_ISL_812268	2020-06-16	2021-01-13	Asia / Iraq
EPI_ISL_816769	2020-04-17	2021-01-14	Europe / United Kingdom / England
EPI_ISL_774872	2020-04-29	2021-01-07	Asia / Bangladesh / Dhaka
EPI_ISL_776273	2020-03-27	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_776874	2020-04-26	2021-01-07	North America / USA / Ohio
EPI_ISL_837674	2020-04-23	2021-01-18	North America / Mexico / Mexico City
EPI_ISL_776074	2020-03-17	2021-01-07	Europe / Germany / Hamburg
EPI_ISL_833569	2020-05-01	2021-01-18	Europe / Italy / Campania
EPI_ISL_805876	2020-04-24	2021-01-12	North America / Canada / Alberta
EPI_ISL_806369	2020-05-08	2021-01-12	North America / Canada / Alberta
EPI_ISL_854579	2020-05-05	2021-01-20	North America / Canada / Alberta
EPI_ISL_796070	2020-03-23	2021-01-11	Europe / Spain / Comunitat Valenciana / Castellon de la Plana
EPI_ISL_779770	2020-03-26	2021-01-08	Europe / Spain / Madrid / Madrid
EPI_ISL_779280	2020-06-14	2021-01-05	Asia / Pakistan / Karachi
