Accession ID	Collection date	Submission date	Location
EPI_ISL_582863	2020-06-27	2020-10-16	North America / USA / California / Santa Clara County
EPI_ISL_575166	2020-05-22	2020-10-07	North America / USA / Utah
EPI_ISL_578166	2020-04-24	2020-10-13	North America / USA / Michigan
EPI_ISL_604065	2020-03-17	2020-10-30	North America / USA / Minnesota
EPI_ISL_571865	2020-03-21	2020-10-05	North America / USA / Michigan
EPI_ISL_579066	2020-03-23	2020-10-14	Oceania / New Zealand / Nelson Marlborough
EPI_ISL_569966	2020-05-24	2020-10-03	North America / Canada / Ontario
EPI_ISL_571066	2020-03-21	2020-10-05	North America / USA / Michigan
EPI_ISL_604366	2020-03-16	2020-10-30	North America / USA / New York
EPI_ISL_570066	2020-04-05	2020-10-04	North America / USA / Washington
EPI_ISL_575067	2020-04-07	2020-10-07	North America / USA / Utah
EPI_ISL_569266	2020-03-18	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_569367	2020-03-27	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_569567	2020-04-06	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_571467	2020-03-20	2020-10-05	North America / USA / Michigan
EPI_ISL_571468	2020-03-21	2020-10-05	North America / USA / Michigan
EPI_ISL_610168	2020-03-27	2020-10-28	Asia / Hong Kong
EPI_ISL_614518	2020-03-30	2020-11-05	Europe / Denmark / Sjaelland
EPI_ISL_603167	2020-06-07	2020-10-30	Europe / Italy / Lazio
EPI_ISL_570466	2020-06-24	2020-10-04	North America / USA / Washington
EPI_ISL_571867	2020-03-21	2020-10-05	North America / USA / Michigan
EPI_ISL_585167	2020-03-30	2020-10-19	Europe / United Kingdom / Northern Ireland
EPI_ISL_570367	2020-06-16	2020-10-04	North America / USA / Washington
EPI_ISL_610167	2020-03-22	2020-10-28	Asia / Hong Kong
EPI_ISL_584467	2020-05-02	2020-10-19	Europe / United Kingdom / England
EPI_ISL_571167	2020-03-21	2020-10-05	North America / USA / California
EPI_ISL_572168	2020-03-13	2020-10-05	North America / USA / Minnesota
EPI_ISL_604768	2020-03-16	2020-10-30	North America / USA / California
EPI_ISL_604968	2020-03-12	2020-10-30	North America / USA / Utah
EPI_ISL_603968	2020-03-17	2020-10-30	North America / USA / Michigan
EPI_ISL_569568	2020-04-06	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_585168	2020-03-30	2020-10-19	Europe / United Kingdom / Northern Ireland
EPI_ISL_571968	2020-03-16	2020-10-05	North America / USA / Mississippi
EPI_ISL_585169	2020-03-30	2020-10-19	Europe / United Kingdom / Northern Ireland
EPI_ISL_569868	2020-04-01	2020-10-03	Europe / Italy / Piedmont / Turin
EPI_ISL_604869	2020-03-16	2020-10-30	North America / USA / Washington
EPI_ISL_579669	2020-04-07	2020-10-14	North America / Canada / Nova Scotia
EPI_ISL_570173	2020-04-11	2020-10-04	North America / USA / Washington
EPI_ISL_604673	2020-03-17	2020-10-30	North America / USA / California
EPI_ISL_571875	2020-03-23	2020-10-05	North America / USA / Michigan
EPI_ISL_574969	2020-03-16	2020-10-07	Europe / Switzerland / Wallis
EPI_ISL_583175	2020-05-08	2020-10-16	North America / USA / California / San Bernardino County
EPI_ISL_604075	2020-03-16	2020-10-30	North America / USA / Minnesota
EPI_ISL_568969	2020-05-02	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_570269	2020-06-01	2020-10-04	North America / USA / Washington
EPI_ISL_569370	2020-03-27	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_586256	2020-06-29	2020-10-19	North America / USA / Alaska / Anchorage-Mat Su
EPI_ISL_571170	2020-03-21	2020-10-05	North America / USA / California
EPI_ISL_571470	2020-03-21	2020-10-05	North America / USA / Michigan
EPI_ISL_605070	2020-03-30	2020-10-30	Europe / Ireland / Dublin
EPI_ISL_570971	2020-03-22	2020-10-04	North America / USA / Washington
EPI_ISL_590771	2020-04-11	2020-10-20	North America / USA / Minnesota
EPI_ISL_571771	2020-03-14	2020-10-05	North America / USA / Minnesota
EPI_ISL_604271	2020-03-15	2020-10-30	North America / USA / New York
EPI_ISL_571572	2020-03-23	2020-10-05	North America / USA / Alabama
EPI_ISL_572172	2020-03-14	2020-10-05	North America / USA / Minnesota
EPI_ISL_575199	2020-05-26	2020-10-07	North America / USA / Utah
EPI_ISL_610172	2020-03-20	2020-10-28	Asia / Hong Kong
EPI_ISL_570472	2020-06-24	2020-10-04	North America / USA / Washington
EPI_ISL_581872	2020-04-06	2020-10-14	Europe / Switzerland / Basel-Landschaft
EPI_ISL_583686	2020-03-31	2020-10-18	Europe / Austria
EPI_ISL_581789	2020-03-26	2020-10-14	Europe / Switzerland / Basel-Stadt
EPI_ISL_582288	2020-03-27	2020-10-16	North America / Canada / Manitoba
EPI_ISL_604674	2020-03-17	2020-10-30	North America / USA / California
EPI_ISL_571474	2020-03-18	2020-10-05	North America / USA / Missouri
EPI_ISL_568974	2020-05-06	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_610174	2020-03-29	2020-10-28	Asia / Hong Kong
EPI_ISL_580674	2020-05-09	2020-10-14	Europe / United Kingdom / England
EPI_ISL_569474	2020-03-22	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_570092	2020-04-01	2020-10-04	North America / USA / Connecticut
EPI_ISL_569975	2020-06-10	2020-10-03	North America / Canada / Ontario
EPI_ISL_572175	2020-03-16	2020-10-05	North America / USA / Minnesota
EPI_ISL_572075	2020-03-18	2020-10-05	North America / USA / California
EPI_ISL_582247	2020-04-07	2020-10-16	North America / Canada / Manitoba
EPI_ISL_569875	2020-03-31	2020-10-03	Europe / Italy / Piedmont / Turin
EPI_ISL_569475	2020-03-22	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_610175	2020-03-26	2020-10-28	Asia / Hong Kong
EPI_ISL_571676	2020-03-16	2020-10-05	North America / USA / New York
EPI_ISL_569276	2020-03-19	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_569876	2020-03-31	2020-10-03	Europe / Italy / Piedmont / Turin
EPI_ISL_583876	2020-03-13	2020-10-18	Europe / Austria
EPI_ISL_593976	2020-04-02	2020-10-23	North America / USA / Delaware / Sussex County
EPI_ISL_591176	2020-04-12	2020-10-21	North America / Canada / Ontario / Toronto
EPI_ISL_568895	2020-04-12	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_571196	2020-03-23	2020-10-05	North America / USA / Michigan
EPI_ISL_569576	2020-04-07	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_578396	2020-04-01	2020-10-13	North America / USA / Wisconsin / Brown County
EPI_ISL_574496	2020-03-24	2020-10-06	Asia / Singapore
EPI_ISL_570076	2020-04-04	2020-10-04	North America / USA / Connecticut
EPI_ISL_603976	2020-03-17	2020-10-30	North America / USA / Minnesota
EPI_ISL_571576	2020-03-22	2020-10-05	North America / USA / California
EPI_ISL_604576	2020-03-15	2020-10-30	North America / USA / New York
EPI_ISL_570377	2020-06-18	2020-10-04	North America / USA / Oregon
EPI_ISL_571277	2020-03-19	2020-10-05	North America / USA / California
EPI_ISL_571377	2020-03-18	2020-10-05	North America / USA / Michigan
EPI_ISL_614577	2020-03-09	2020-11-05	Europe / Denmark / Nordjylland
EPI_ISL_568977	2020-05-05	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_570277	2020-06-01	2020-10-04	North America / USA / Washington
EPI_ISL_589377	2020-04-29	2020-10-20	Europe / United Kingdom / England
EPI_ISL_569878	2020-04-01	2020-10-03	Europe / Italy / Piedmont / Turin
EPI_ISL_583578	2020-03-22	2020-10-18	Europe / Austria / Vienna
EPI_ISL_603778	2020-03-18	2020-10-30	North America / USA / California
EPI_ISL_578778	2020-06-01	2020-10-14	North America / USA / Louisiana / Ouachita Parish
EPI_ISL_610278	2020-05-04	2020-11-03	North America / USA / New Mexico
EPI_ISL_604478	2020-03-18	2020-10-30	North America / USA / Michigan
EPI_ISL_583478	2020-05-02	2020-10-16	North America / USA / New York
EPI_ISL_571078	2020-03-18	2020-10-05	North America / USA / Michigan
EPI_ISL_571178	2020-03-17	2020-10-05	North America / USA / Connecticut
EPI_ISL_570078	2020-04-07	2020-10-04	North America / USA / Washington
EPI_ISL_581478	2020-03-22	2020-10-14	Europe / Germany / Baden-Wurttemberg / Tuebingen
EPI_ISL_584079	2020-04-01	2020-10-19	Europe / Czech Republic / Southern Bohemia Region / Pisek
EPI_ISL_604399	2020-03-19	2020-10-30	North America / USA / California
EPI_ISL_583779	2020-03-18	2020-10-18	Europe / Austria
EPI_ISL_591179	2020-04-13	2020-10-21	North America / Canada / Ontario / Toronto
EPI_ISL_591379	2020-05-05	2020-10-22	Asia / Japan
EPI_ISL_584479	2020-05-02	2020-10-19	Europe / United Kingdom / England
EPI_ISL_570979	2020-03-08	2020-10-04	North America / USA / Washington
EPI_ISL_571179	2020-03-17	2020-10-05	North America / USA / Connecticut
EPI_ISL_604979	2020-03-13	2020-10-30	North America / USA / Utah
EPI_ISL_570379	2020-06-18	2020-10-04	North America / USA / Washington
EPI_ISL_569379	2020-03-28	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_575179	2020-05-23	2020-10-07	North America / USA / Utah
EPI_ISL_614479	2020-03-30	2020-11-05	Europe / Denmark / Hovedstaden
EPI_ISL_570879	2020-06-27	2020-10-04	North America / USA / Washington
EPI_ISL_586480	2020-04-13	2020-10-19	North America / Canada / Ontario / Toronto
EPI_ISL_583680	2020-04-18	2020-10-18	Europe / Austria
EPI_ISL_572280	2020-06-23	2020-10-05	North America / USA / Virginia
EPI_ISL_569449	2020-04-01	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_594280	2020-05-21	2020-10-26	North America / USA / Florida
EPI_ISL_570380	2020-06-17	2020-10-04	North America / USA / Washington
EPI_ISL_614580	2020-03-09	2020-11-05	Europe / Denmark / Sjaelland
EPI_ISL_571380	2020-03-20	2020-10-05	North America / USA / Michigan
EPI_ISL_582280	2020-03-28	2020-10-16	North America / Canada / Manitoba
EPI_ISL_605780	2020-03-13	2020-10-29	Africa / Egypt / Cairo
EPI_ISL_604680	2020-03-17	2020-10-30	North America / USA / California
EPI_ISL_571081	2020-03-23	2020-10-05	North America / USA / Michigan
EPI_ISL_571881	2020-03-22	2020-10-05	North America / USA / Michigan
EPI_ISL_571581	2020-03-23	2020-10-05	North America / USA / California
EPI_ISL_583681	2020-04-21	2020-10-18	Europe / Austria
EPI_ISL_593481	2020-04-11	2020-10-22	North America / Canada / Ontario / Ottawa
EPI_ISL_603781	2020-03-17	2020-10-30	North America / USA / California
EPI_ISL_604481	2020-03-17	2020-10-30	North America / USA / Missouri
EPI_ISL_593881	2020-06-11	2020-10-23	Europe / France / Occitanie
EPI_ISL_569281	2020-03-19	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_568681	2020-03-23	2020-10-02	North America / USA / Florida
EPI_ISL_578381	2020-03-29	2020-10-13	North America / USA / Wisconsin / Waukesha County
EPI_ISL_594081	2020-05-29	2020-10-23	North America / USA / Utah
EPI_ISL_596681	2020-04-15	2020-10-27	Oceania / Australia / Western Australia
EPI_ISL_568881	2020-04-10	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_571582	2020-03-24	2020-10-05	North America / USA / California
EPI_ISL_603882	2020-03-18	2020-10-30	North America / USA / Arizona
EPI_ISL_581482	2020-03-31	2020-10-14	Europe / Germany / Baden-Wurttemberg / Tuebingen
EPI_ISL_568882	2020-04-10	2020-10-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_571466	2020-03-22	2020-10-05	North America / USA / Michigan
EPI_ISL_572166	2020-03-15	2020-10-05	North America / USA / Minnesota
EPI_ISL_581782	2020-03-27	2020-10-14	Europe / Switzerland / Basel-Landschaft
EPI_ISL_581766	2020-03-26	2020-10-14	Europe / Switzerland / Basel-Landschaft
EPI_ISL_571966	2020-03-16	2020-10-05	North America / USA / Michigan
EPI_ISL_578766	2020-05-28	2020-10-14	North America / USA / Louisiana / Caddo Parish
EPI_ISL_583466	2020-03-24	2020-10-16	North America / USA / New York
EPI_ISL_579466	2020-03-25	2020-10-14	Oceania / New Zealand / Canterbury
EPI_ISL_574482	2020-03-23	2020-10-06	Asia / Singapore
EPI_ISL_582266	2020-03-24	2020-10-16	North America / Canada / Manitoba
EPI_ISL_602482	2020-04-12	2020-10-28	Europe / Germany / North Rhine-Westphalia / Essen
EPI_ISL_579582	2020-03-26	2020-10-14	North America / Canada / Nova Scotia
EPI_ISL_604082	2020-03-17	2020-10-30	North America / USA / Minnesota
EPI_ISL_571682	2020-03-16	2020-10-05	North America / USA / New York
EPI_ISL_569766	2020-05-28	2020-10-03	Europe / Russia / Omsk / Omsk
EPI_ISL_579183	2020-04-06	2020-10-14	Oceania / New Zealand / Southern
EPI_ISL_568583	2020-03-19	2020-10-02	Asia / Thailand / Bangkok
EPI_ISL_604583	2020-03-13	2020-10-30	North America / USA / Utah
EPI_ISL_603883	2020-03-18	2020-10-30	North America / USA / California
EPI_ISL_571883	2020-03-24	2020-10-05	North America / USA / Michigan
EPI_ISL_574966	2020-03-17	2020-10-07	Europe / Switzerland / Uri
EPI_ISL_591366	2020-04-06	2020-10-22	Asia / Japan
EPI_ISL_604767	2020-03-15	2020-10-30	North America / USA / California
EPI_ISL_581683	2020-04-06	2020-10-14	Europe / Switzerland / Basel-Stadt
EPI_ISL_594083	2020-05-30	2020-10-23	North America / USA / Utah
EPI_ISL_571983	2020-03-15	2020-10-05	North America / USA / New Jersey
EPI_ISL_604884	2020-03-16	2020-10-30	North America / USA / California
EPI_ISL_569884	2020-04-08	2020-10-03	Europe / Italy / Piedmont / Turin
EPI_ISL_571684	2020-03-17	2020-10-05	North America / USA / New York
EPI_ISL_583784	2020-03-22	2020-10-18	Europe / Austria
EPI_ISL_604284	2020-03-14	2020-10-30	North America / USA / Utah
EPI_ISL_604466	2020-03-16	2020-10-30	North America / USA / Michigan
EPI_ISL_571266	2020-03-17	2020-10-05	North America / USA / Arizona
EPI_ISL_591266	2020-04-14	2020-10-21	North America / Canada / Ontario / Toronto
