Accession ID	Collection date	Submission date	Location
EPI_ISL_427738	2020-03-21	2020-04-19	Oceania / Australia / New South Wales / Sydney
EPI_ISL_416466	2020-03-03	2020-03-22	North America / USA / Washington / King County
EPI_ISL_426064	2020-03-19	2020-04-14	Europe / Germany / North Rhine-Westphalia / Duesseldorf
EPI_ISL_414363	2020-03-04	2020-03-11	North America / USA / Washington
EPI_ISL_419566	2020-03-05	2020-04-02	Europe / Luxembourg
EPI_ISL_426615	2020-03-26	2020-04-16	North America / USA / Arizona
EPI_ISL_427266	2020-03-30	2020-04-17	North America / USA / Washington
EPI_ISL_408666	2020-01-31	2020-02-10	Asia / Japan / Tokyo
EPI_ISL_415605	2020-03-05	2020-03-18	North America / USA / Washington
EPI_ISL_417405	2020-03-11	2020-03-25	Oceania / Australia / New South Wales / Sydney
EPI_ISL_424266	2020-03-22	2020-04-12	North America / USA
EPI_ISL_417866	2020-03-09	2020-03-27	Europe / Iceland / Reykjavik
EPI_ISL_417967	2020-03-12	2020-03-27	Europe / Spain / Madrid
EPI_ISL_417566	2020-03-17	2020-03-27	Europe / Iceland / Reykjavik
EPI_ISL_421467	2020-03-20	2020-04-08	Europe / Portugal
EPI_ISL_415467	2020-03-10	2020-03-17	Europe / Netherlands
EPI_ISL_414368	2020-03-05	2020-03-11	North America / USA / Washington
EPI_ISL_422568	2020-03-28	2020-04-11	Europe / Netherlands / Friesland
EPI_ISL_424968	2020-04-01	2020-04-14	North America / USA / New York / Bronx
EPI_ISL_419919	2020-03-20	2020-04-03	Oceania / Australia / Victoria
EPI_ISL_420171	2020-03-24	2020-04-06	Europe / United Kingdom / England / South Yorkshire
EPI_ISL_424972	2020-03-16	2020-04-14	Asia / Taiwan / Taoyuan
EPI_ISL_425316	2020-03-22	2020-04-14	Europe / United Kingdom / England
EPI_ISL_415505	2020-03-11	2020-03-17	Europe / Netherlands / Noord-Brabant
EPI_ISL_415705	2020-03-06	2020-03-19	Europe / Switzerland / Geneva
EPI_ISL_416666	2020-03-12	2020-03-23	North America / USA / Washington
EPI_ISL_420366	2020-03-19	2020-04-06	Europe / Belgium / Oudergem
EPI_ISL_423867	2020-03-18	2020-04-12	Europe / United Kingdom / England
EPI_ISL_417667	2020-03-15	2020-03-27	Europe / Iceland / Reykjavik
EPI_ISL_412966	2020-02-05	2020-02-27	Asia / China / Guangdong / Guangzhou
EPI_ISL_423918	2020-03-19	2020-04-12	Europe / United Kingdom / England
EPI_ISL_422068	2020-03-30	2020-04-10	Europe / United Kingdom / Wales
EPI_ISL_419569	2020-03-07	2020-04-02	Europe / Luxembourg
EPI_ISL_427568	2020-03-15	2020-04-19	North America / USA / New York / Manhattan
EPI_ISL_416668	2020-03-11	2020-03-23	North America / USA / Washington
EPI_ISL_416470	2020-03-02	2020-03-22	Europe / Belgium / Couthuin
EPI_ISL_417871	2020-03-11	2020-03-27	Europe / Iceland / Reykjavik
EPI_ISL_422973	2020-03-17	2020-04-12	North America / USA / Washington
EPI_ISL_427269	2020-03-31	2020-04-17	North America / USA / Washington
EPI_ISL_418269	2020-01-22	2020-03-14	Asia / Vietnam / Ho Chi Minh City
EPI_ISL_422669	2020-03-18	2020-04-11	Europe / Netherlands
EPI_ISL_417969	2020-03-09	2020-03-27	Europe / Spain / Madrid
EPI_ISL_427170	2020-03-30	2020-04-17	North America / USA / Idaho
EPI_ISL_418077	2020-03-15	2020-03-28	North America / USA / Washington
EPI_ISL_425870	2020-03-20	2020-04-14	Europe / United Kingdom / Scotland
EPI_ISL_422821	2020-03-09	2020-04-11	Europe / Netherlands
EPI_ISL_427770	2020-03-23	2020-04-19	Oceania / Australia / New South Wales / Sydney
EPI_ISL_426570	2020-03-05	2020-04-16	North America / USA / Arizona
EPI_ISL_421880	2020-03-26	2020-04-09	Europe / United Kingdom / England
EPI_ISL_421371	2020-03-17	2020-04-07	North America / USA / New York / Brooklyn
EPI_ISL_416572	2020-02-15	2020-03-23	Asia / Japan
EPI_ISL_428472	2020-01-28	2020-04-21	Asia / China / Guangdong / Zhuhai
EPI_ISL_428872	2020-03-19	2020-04-22	Europe / Russia / Moscow Region
EPI_ISL_418688	2020-03-17	2020-03-30	Europe / United Kingdom / England
EPI_ISL_418690	2020-03-17	2020-03-30	Europe / United Kingdom / England
EPI_ISL_418673	2020-03-16	2020-03-30	Europe / United Kingdom / England
EPI_ISL_425374	2020-03-19	2020-04-14	Europe / United Kingdom / England
EPI_ISL_423074	2020-03-24	2020-04-12	Europe / United Kingdom / England
EPI_ISL_426591	2020-03-14	2020-04-16	North America / USA / Arizona
EPI_ISL_427492	2020-04-01	2020-04-18	North America / USA / New York / Queens
EPI_ISL_428475	2020-01-28	2020-04-21	Asia / China / Guangdong / Huizhou
EPI_ISL_418775	2020-03-13	2020-03-30	North America / USA / Washington
EPI_ISL_422875	2020-03-11	2020-04-11	Europe / Netherlands / Noord-Brabant
EPI_ISL_417175	2020-03-02	2020-03-24	North America / USA / Washington / Grant County
EPI_ISL_420375	2020-03-24	2020-04-06	Europe / Belgium / Tervuren
EPI_ISL_427676	2020-03-22	2020-04-19	Oceania / Australia / New South Wales / Sydney
EPI_ISL_418076	2020-03-15	2020-03-28	North America / USA / Washington
EPI_ISL_425876	2020-03-21	2020-04-14	Europe / United Kingdom / Scotland
EPI_ISL_422176	2020-03-30	2020-04-10	Europe / United Kingdom / Wales
EPI_ISL_422995	2020-03-17	2020-04-12	North America / USA / Washington
EPI_ISL_417076	2020-03-02	2020-03-24	North America / USA / Washington / Snohomish County
EPI_ISL_424896	2020-03-08	2020-04-13	North America / USA / Iowa
EPI_ISL_420076	2020-03-20	2020-04-04	Africa / Senegal / Dakar
EPI_ISL_422577	2020-03-30	2020-04-11	Europe / Netherlands
EPI_ISL_416377	2020-02-07	2020-03-20	Asia / China / Shanghai
EPI_ISL_427478	2020-04-01	2020-04-18	North America / USA / New York / Manhattan
EPI_ISL_420578	2020-03-18	2020-04-06	North America / USA / New York / Manhattan
EPI_ISL_423907	2020-03-18	2020-04-12	Europe / United Kingdom / England
EPI_ISL_418047	2020-03-16	2020-03-28	North America / USA / Washington
EPI_ISL_418992	2020-02-10	2020-04-01	Asia / Singapore
EPI_ISL_422608	2020-04-01	2020-04-11	Europe / Netherlands
EPI_ISL_423231	2020-03-24	2020-04-12	Europe / United Kingdom / England
EPI_ISL_424246	2020-03-21	2020-04-12	North America / USA / Washington
EPI_ISL_425811	2020-03-09	2020-04-14	Europe / United Kingdom / Scotland
EPI_ISL_426053	2020-03-30	2020-04-14	North America / USA / Connecticut
EPI_ISL_426571	2020-03-11	2020-04-16	North America / USA / Arizona
EPI_ISL_426507	2020-03-18	2020-04-17	North America / USA / Arizona
EPI_ISL_426414	2020-04-05	2020-04-16	Asia / India / Gujarat
EPI_ISL_428676	2020-03-07	2020-04-21	Europe / Spain / Madrid
EPI_ISL_420579	2020-03-18	2020-04-06	North America / USA / New York / Manhattan
EPI_ISL_417079	2020-03-02	2020-03-24	North America / USA / Washington / Snohomish County
EPI_ISL_421779	2020-03-25	2020-04-09	Europe / United Kingdom / England
EPI_ISL_416579	2020-02-15	2020-03-23	Asia / Japan
EPI_ISL_426579	2020-03-20	2020-04-16	North America / USA / Arizona
EPI_ISL_419579	2020-03-14	2020-04-02	Europe / Luxembourg
EPI_ISL_422980	2020-03-16	2020-04-12	North America / USA
EPI_ISL_421180	2020-03-27	2020-04-07	Europe / Spain / Madrid
EPI_ISL_416680	2020-03-11	2020-03-23	North America / USA / Washington
EPI_ISL_423780	2020-03-24	2020-04-12	Europe / United Kingdom / England
EPI_ISL_428280	2020-03-22	2020-04-20	North America / USA / Wisconsin / Milwaukee County
EPI_ISL_426180	2020-02-05	2020-04-15	Asia / South Korea
EPI_ISL_425281	2020-03-30	2020-04-14	Europe / United Kingdom / England
EPI_ISL_415581	2020-03-01	2020-03-18	North America / Canada / British Columbia
EPI_ISL_417381	2020-03-14	2020-03-25	North America / USA / Washington
EPI_ISL_422081	2020-03-30	2020-04-10	Europe / United Kingdom / Wales
EPI_ISL_427181	2020-03-26	2020-04-17	North America / USA / Washington
