Accession ID	Collection date	Submission date	Location
EPI_ISL_454366	2020-03-29	2020-05-28	North America / USA / Pennsylvania / Allegheny County / Pittsburgh
EPI_ISL_455064	2020-03-26	2020-05-29	Oceania / Australia / New South Wales / Sydney
EPI_ISL_462266	2020-04-08	2020-06-08	Europe / Belgium / Basecles
EPI_ISL_459666	2020-03-27	2020-06-04	Europe / United Kingdom / Scotland
EPI_ISL_457166	2020-04-03	2020-06-02	Europe / United Kingdom / England
EPI_ISL_457065	2020-04-10	2020-06-02	Europe / United Kingdom / England
EPI_ISL_450566	2020-04-13	2020-05-21	North America / USA / Utah
EPI_ISL_457867	2020-04-22	2020-06-02	Africa / Kenya
EPI_ISL_454266	2020-04-08	2020-05-28	Europe / Portugal
EPI_ISL_460467	2020-03-11	2020-05-26	North America / USA / Massachusetts
EPI_ISL_456205	2020-03-20	2020-06-02	Oceania / New Zealand / Auckland
EPI_ISL_454905	2020-03-02	2020-05-29	Asia / China / Hubei / Wuhan
EPI_ISL_455068	2020-05-05	2020-05-29	Oceania / Australia / New South Wales / Sydney
EPI_ISL_451268	2020-05-07	2020-05-24	North America / USA / Louisiana / Rapides Parish
EPI_ISL_457868	2020-04-03	2020-06-02	Africa / Kenya
EPI_ISL_454368	2020-03-31	2020-05-28	North America / USA / Pennsylvania / Allegheny County / Pittsburgh
EPI_ISL_456669	2020-05-05	2020-06-02	Europe / United Kingdom / England
EPI_ISL_450169	2020-03-20	2020-05-20	North America / USA / New York / Brooklyn
EPI_ISL_460469	2020-03-25	2020-05-26	North America / USA / Massachusetts
EPI_ISL_451077	2020-03-18	2020-05-23	Oceania / Australia / South Australia
EPI_ISL_454570	2020-04-26	2020-05-28	Asia / India / Maharashtra
EPI_ISL_456171	2020-03-19	2020-06-02	Oceania / New Zealand / Bay of Plenty
EPI_ISL_451471	2020-03-20	2020-05-25	North America / USA / New York / Brooklyn
EPI_ISL_461571	2020-05-27	2020-06-06	Europe / United Kingdom / England
EPI_ISL_460372	2020-03-26	2020-05-26	North America / USA / Massachusetts
EPI_ISL_458972	2020-04-09	2020-06-04	Europe / United Kingdom / England
EPI_ISL_458184	2020-03-27	2020-06-04	Europe / Belgium / Boussu
EPI_ISL_462373	2020-03-10	2020-06-08	Asia / Singapore
EPI_ISL_454989	2020-03-02	2020-05-29	Asia / China / Hubei / Wuhan
EPI_ISL_461373	2020-05-03	2020-06-06	Europe / Netherlands / Zuid-Holland
EPI_ISL_457074	2020-04-08	2020-06-02	Europe / United Kingdom / England
EPI_ISL_458991	2020-04-10	2020-06-04	Europe / United Kingdom / England
EPI_ISL_454774	2020-03-27	2020-05-29	Europe / Netherlands / Utrecht
EPI_ISL_462292	2020-03-17	2020-06-08	Asia / Singapore
EPI_ISL_459375	2020-04-06	2020-06-04	Europe / United Kingdom / Northern Ireland
EPI_ISL_460775	2020-04-22	2020-06-06	Europe / Netherlands
