Accession ID	Collection date	Submission date	Location
EPI_ISL_553366	2020-06-13	2020-09-28	Europe / United Kingdom / England
EPI_ISL_555166	2020-06-16	2020-09-28	Europe / United Kingdom / England
EPI_ISL_544166	2020-06-11	2020-09-24	North America / USA / Texas / Houston
EPI_ISL_555866	2020-06-16	2020-09-28	Europe / United Kingdom / England
EPI_ISL_556366	2020-06-17	2020-09-28	Europe / United Kingdom / England
EPI_ISL_552966	2020-06-22	2020-09-28	Europe / United Kingdom / England
EPI_ISL_552867	2020-06-21	2020-09-28	Europe / United Kingdom / England
EPI_ISL_553767	2020-06-13	2020-09-28	Europe / United Kingdom / England
EPI_ISL_539067	2020-04-03	2020-09-17	Europe / United Kingdom / England
EPI_ISL_544465	2020-04-01	2020-09-24	North America / USA / Texas / Houston
EPI_ISL_555765	2020-06-16	2020-09-28	Europe / United Kingdom / Wales
EPI_ISL_554666	2020-06-07	2020-09-28	Europe / United Kingdom / England
EPI_ISL_546567	2020-06-30	2020-09-24	North America / USA / Texas / Houston
EPI_ISL_544167	2020-06-14	2020-09-24	North America / USA / Texas / Houston
EPI_ISL_553867	2020-06-08	2020-09-28	Europe / United Kingdom / England
EPI_ISL_556367	2020-06-15	2020-09-28	Europe / United Kingdom / England
EPI_ISL_537567	2020-06-06	2020-09-16	North America / USA / California / Los Angeles County
EPI_ISL_543067	2020-06-15	2020-09-23	North America / USA / Texas / Houston
EPI_ISL_555767	2020-06-11	2020-09-28	Europe / United Kingdom / England
EPI_ISL_548968	2020-04-23	2020-09-28	Asia / United Arab Emirates / Dubai
EPI_ISL_549268	2020-06-29	2020-09-28	North America / USA / Florida
EPI_ISL_555168	2020-06-20	2020-09-28	Europe / United Kingdom / England
EPI_ISL_538368	2020-04-04	2020-09-16	North America / Canada / Ontario
EPI_ISL_542768	2020-04-28	2020-09-23	North America / USA / Texas / Houston
EPI_ISL_548971	2020-04-23	2020-09-28	Asia / United Arab Emirates / Dubai
EPI_ISL_557072	2020-06-29	2020-09-28	Europe / United Kingdom / England
EPI_ISL_541873	2020-04-16	2020-09-23	Europe / Lithuania / Kauno apskritis
EPI_ISL_554373	2020-06-12	2020-09-28	Europe / United Kingdom / England
EPI_ISL_546469	2020-06-28	2020-09-24	North America / USA / Texas / Houston
EPI_ISL_554569	2020-06-14	2020-09-28	Europe / United Kingdom / England
