Accession ID	Collection date	Submission date	Location
EPI_ISL_469666	2020-04-16	2020-06-18	Europe / United Kingdom / England
EPI_ISL_470666	2020-04-14	2020-06-18	North America / USA / Utah
EPI_ISL_476966	2020-04-11	2020-06-27	Europe / Belgium / Heusden-Zolder
EPI_ISL_475766	2020-04-03	2020-06-25	Europe / Austria / Innsbruck
EPI_ISL_467466	2020-04-05	2020-06-14	Africa / South Africa / KwaZulu-Natal / Berea
EPI_ISL_475166	2020-06-07	2020-06-23	Asia / Bangladesh / Rangpur
EPI_ISL_468567	2020-03-13	2020-06-16	North America / USA / California
EPI_ISL_475567	2020-05-28	2020-06-23	Europe / Sweden / Stockholm
EPI_ISL_467366	2020-04-27	2020-06-12	South America / Brazil / Rio de Janeiro
EPI_ISL_468243	2020-04-25	2020-06-16	Europe / Switzerland / Zurich
EPI_ISL_471967	2020-03-27	2020-06-23	Europe / United Kingdom / England
EPI_ISL_476567	2020-05-18	2020-06-25	South America / Argentina / Ciudad Autonoma de Buenos Aires
EPI_ISL_474867	2020-03-17	2020-06-23	Europe / Spain / Andalusia / Granada
EPI_ISL_471167	2020-05-04	2020-06-19	Africa / Gambia / Kombo
EPI_ISL_467868	2020-03-13	2020-06-15	North America / USA / Michigan
EPI_ISL_480168	2020-04-07	2020-07-01	Asia / Japan / HokurikuShinsyu
EPI_ISL_477762	2020-06-13	2020-06-30	Europe / United Kingdom / England
EPI_ISL_481272	2020-04-03	2020-07-02	North America / USA / Maryland
EPI_ISL_480074	2020-03-30	2020-07-01	Asia / Japan / Kanto
EPI_ISL_479700	2020-06-02	2020-06-15	Africa / Egypt
EPI_ISL_470520	2020-04-04	2020-06-18	Europe / United Kingdom / England
EPI_ISL_466570	2020-04-15	2020-06-11	Europe / United Kingdom / England
EPI_ISL_475970	2020-03-24	2020-06-25	Asia / Singapore
EPI_ISL_469779	2020-04-22	2020-06-18	Europe / United Kingdom / England
EPI_ISL_474167	2020-05-10	2020-06-23	Europe / United Kingdom / Wales
EPI_ISL_480967	2020-03-16	2020-07-02	Europe / Spain / Basque Country / San Sebastian
EPI_ISL_476968	2020-04-11	2020-06-27	Europe / Belgium / Mouscron
EPI_ISL_475568	2020-06-01	2020-06-23	Europe / Sweden / Vastmanland
EPI_ISL_474368	2020-04-15	2020-06-23	Europe / United Kingdom / Wales
EPI_ISL_481269	2020-04-01	2020-07-02	North America / USA / Maryland
EPI_ISL_475774	2020-03-27	2020-06-25	Europe / Austria / Vienna
EPI_ISL_477175	2020-03-22	2020-06-29	Asia / Singapore
EPI_ISL_478669	2020-03-27	2020-06-29	Europe / Turkey
EPI_ISL_478877	2020-04-20	2020-06-30	Europe / United Kingdom / England
EPI_ISL_466670	2020-05-04	2020-06-11	North America / USA / Nebraska
EPI_ISL_480179	2020-03-28	2020-07-01	Asia / Japan / Chushikoku
EPI_ISL_468071	2020-04-17	2020-06-16	Asia / Bangladesh / Dhaka
EPI_ISL_478371	2020-06-06	2020-06-30	Europe / United Kingdom / England
EPI_ISL_479672	2020-03-24	2020-06-29	North America / USA / New York
EPI_ISL_467872	2020-03-15	2020-06-15	North America / USA / Michigan
EPI_ISL_478872	2020-04-19	2020-06-30	Europe / United Kingdom / England
EPI_ISL_478772	2020-04-08	2020-06-30	Europe / United Kingdom / England
EPI_ISL_480072	2020-04-03	2020-07-01	Asia / Japan / Kansai
EPI_ISL_466888	2020-04-20	2020-06-12	Europe / Germany / Bavaria / Munich
EPI_ISL_480173	2020-04-03	2020-07-01	Asia / Japan / Kanto
EPI_ISL_476773	2020-03-20	2020-06-25	North America / USA / California / Santa Clara County
EPI_ISL_467173	2020-03-17	2020-06-12	Europe / Spain / Basque Country / Vitoria
EPI_ISL_471874	2020-04-29	2020-06-22	North America / USA / Michigan
EPI_ISL_474974	2020-03-15	2020-06-23	Asia / Israel / Hukuk
EPI_ISL_475875	2020-03-25	2020-06-25	Europe / Austria
EPI_ISL_480175	2020-04-06	2020-07-01	Asia / Japan / Kanto
EPI_ISL_478875	2020-04-20	2020-06-30	Europe / United Kingdom / England
EPI_ISL_479276	2020-06-08	2020-06-30	Europe / United Kingdom / England
EPI_ISL_479976	2020-03-28	2020-07-01	Asia / Japan / HokurikuShinsyu
EPI_ISL_467096	2020-03-19	2020-06-12	Europe / Spain / Basque Country / Vitoria
EPI_ISL_469976	2020-03-29	2020-06-18	Europe / United Kingdom / Scotland
EPI_ISL_470477	2020-04-10	2020-06-18	Europe / United Kingdom / England
EPI_ISL_469377	2020-05-11	2020-06-18	Europe / United Kingdom / England
EPI_ISL_467877	2020-03-15	2020-06-15	North America / USA / New Jersey
EPI_ISL_480198	2020-03-30	2020-07-01	Asia / Japan / HokurikuShinsyu
EPI_ISL_474377	2020-04-14	2020-06-23	Europe / United Kingdom / Wales
EPI_ISL_474477	2020-04-25	2020-06-23	Europe / United Kingdom / Wales
EPI_ISL_478777	2020-04-15	2020-06-30	Europe / United Kingdom / England
EPI_ISL_469878	2020-04-22	2020-06-18	Europe / United Kingdom / Northern Ireland
EPI_ISL_467278	2020-04-07	2020-06-12	Europe / Spain / Galicia / Riveira
EPI_ISL_475678	2020-03-28	2020-06-23	North America / USA / California / Los Angeles County
EPI_ISL_480099	2020-04-05	2020-07-01	Asia / Japan / Kansai
EPI_ISL_480279	2020-05-07	2020-07-01	Europe / Turkey / Istanbul
EPI_ISL_470379	2020-04-09	2020-06-18	Europe / United Kingdom / England
EPI_ISL_470080	2020-04-06	2020-06-18	Europe / United Kingdom / Northern Ireland
EPI_ISL_480280	2020-05-06	2020-07-01	Europe / Turkey / Istanbul
EPI_ISL_479181	2020-03-26	2020-06-30	Europe / United Kingdom / England
EPI_ISL_480181	2020-03-27	2020-07-01	Asia / Japan / Kanto
