Accession ID	Collection date	Submission date	Location
EPI_ISL_1240144	2020-04-27	2021-03-14	Europe / Finland / Uusimaa
EPI_ISL_1252666	2020-06-28	2021-03-15	North America / USA / Texas / Bexar
EPI_ISL_914465	2020-06-26	2021-02-02	North America / USA / Arizona / Navajo
EPI_ISL_1362566	2020-03-22	2021-03-25	North America / USA / Missouri
EPI_ISL_911564	2020-03-23	2021-02-02	North America / USA / Indiana / Indianapolis
EPI_ISL_994666	2020-03-28	2021-02-15	Europe / Croatia / Zagreb
EPI_ISL_1017441	2020-06-06	2021-02-18	North America / USA / Oregon
EPI_ISL_1017318	2020-06-27	2021-02-18	North America / USA / Oregon
EPI_ISL_1111266	2020-05-19	2021-03-01	South America / Peru / Lima
EPI_ISL_1240666	2020-05-02	2021-03-14	Europe / Finland / Uusimaa
EPI_ISL_1241266	2020-04-13	2021-03-15	North America / Canada / Quebec
EPI_ISL_903340	2020-05-28	2021-01-30	North America / USA / Montana
EPI_ISL_984667	2020-04-03	2021-02-09	North America / USA / Ohio
EPI_ISL_1577817	2020-03-16	2021-04-13	South America / Venezuela / Zulia
EPI_ISL_1476767	2020-04-04	2021-04-05	Europe / United Kingdom / England
EPI_ISL_1133166	2020-04-05	2021-03-03	Europe / Italy / Lombardy / Pavia
EPI_ISL_1490170	2020-06-27	2021-04-06	Asia / South Korea
EPI_ISL_1169566	2020-05-04	2021-03-06	North America / USA / Washington
EPI_ISL_1494116	2020-05-07	2021-04-07	North America / USA / Illinois / Cook County
EPI_ISL_1168366	2020-04-18	2021-03-06	North America / USA / New Hampshire
EPI_ISL_1225466	2020-06-11	2021-03-12	North America / Panama / Darien
EPI_ISL_1064066	2020-02-28	2021-02-24	Europe / Italy / Veneto / Padua / Vo
EPI_ISL_940166	2020-04-01	2021-02-05	Europe / France / Ile-de-France
EPI_ISL_1233167	2020-06-04	2021-03-12	North America / USA / Oregon
EPI_ISL_1017367	2020-06-18	2021-02-18	North America / USA / Oregon
EPI_ISL_1015067	2020-03-17	2021-02-17	Europe / France / Ile-de-France
EPI_ISL_906767	2020-03-25	2021-02-01	North America / Canada / Newfoundland and Labrador
EPI_ISL_1139067	2020-03-31	2021-03-04	South America / Brazil / Mato Grosso do Sul / Dourados
EPI_ISL_1489926	2020-05-20	2021-04-06	Europe / Poland / Lodzkie
EPI_ISL_1490167	2020-02-18	2021-04-06	Asia / South Korea
EPI_ISL_911566	2020-03-23	2021-02-02	North America / USA / Indiana / Indianapolis
EPI_ISL_977367	2020-03-25	2021-02-11	Africa / Zambia / Lusaka
EPI_ISL_976908	2020-04-17	2021-02-11	Asia / Thailand
EPI_ISL_977373	2020-06-04	2021-02-11	Africa / Zambia / Copperbelt
EPI_ISL_1201368	2020-06-26	2021-03-10	North America / USA / Texas / Hood County
EPI_ISL_902968	2020-03-23	2021-01-30	North America / USA / Indiana / Indianapolis
EPI_ISL_1547368	2020-04-16	2021-04-12	Europe / Spain / Madrid
EPI_ISL_906768	2020-03-27	2021-02-01	North America / Canada / Newfoundland and Labrador
EPI_ISL_979158	2020-04-10	2021-02-12	North America / USA / California / Santa Clara County
EPI_ISL_1240668	2020-05-02	2021-03-14	Europe / Finland / Uusimaa
EPI_ISL_1015068	2020-03-18	2021-02-17	Europe / France / Ile-de-France
EPI_ISL_1382968	2020-03-25	2021-03-28	Europe / Spain / Navarra
EPI_ISL_1168368	2020-04-13	2021-03-06	North America / USA / Connecticut
EPI_ISL_1201397	2020-06-25	2021-03-10	North America / USA / Texas / Nueces County
EPI_ISL_1533468	2020-06-30	2021-04-10	North America / USA / Georgia
EPI_ISL_1111369	2020-04-15	2021-03-01	South America / Peru / Lima
EPI_ISL_1133169	2020-04-05	2021-03-03	Europe / Italy / Lombardy / Pavia
EPI_ISL_1111268	2020-05-07	2021-03-01	South America / Peru / Lima
EPI_ISL_1494471	2020-05-11	2021-04-07	North America / USA / Illinois / Union County
EPI_ISL_1494529	2020-05-23	2021-04-07	North America / USA / Illinois / Williamson County
EPI_ISL_1001070	2020-04-14	2021-02-15	North America / Canada / Quebec
EPI_ISL_981225	2020-04-28	2021-02-12	Europe / Ireland / Monaghan
