Accession ID	Collection date	Submission date	Location
EPI_ISL_685866	2020-04-20	2020-12-10	Asia / Japan / Okinawa
EPI_ISL_672264	2020-05-16	2020-12-03	North America / USA / California / Santa Clara County
EPI_ISL_653166	2020-06-19	2020-11-23	North America / USA / Florida
EPI_ISL_685766	2020-04-17	2020-12-10	Asia / Japan / Nagano
EPI_ISL_691161	2020-04-17	2020-12-10	Asia / Japan / Toyama
EPI_ISL_684510	2020-03-25	2020-12-10	Asia / Japan / Tokyo
EPI_ISL_687066	2020-05-12	2020-12-10	Asia / Japan / Kanagawa
EPI_ISL_684666	2020-04-19	2020-12-10	Asia / Japan / Fukuoka
EPI_ISL_685166	2020-04-14	2020-12-10	Asia / Japan / Fukui
EPI_ISL_690766	2020-04-11	2020-12-10	Asia / Japan / Miyagi
EPI_ISL_632966	2020-03-18	2020-11-12	North America / USA / New York / New York City
EPI_ISL_685667	2020-04-06	2020-12-10	Asia / Japan / Tokyo
EPI_ISL_685267	2020-04-14	2020-12-10	Asia / Japan / Hokkaido
EPI_ISL_691767	2020-04-06	2020-12-10	Asia / Japan / Fukui
EPI_ISL_691067	2020-04-09	2020-12-10	Asia / Japan / Kanagawa
EPI_ISL_636167	2020-06-05	2020-11-13	North America / USA / California / San Diego
EPI_ISL_649067	2020-03-05	2020-11-22	Asia / Israel / Beerot-Itzhak
EPI_ISL_694539	2020-05-16	2020-12-12	North America / USA / Arizona
EPI_ISL_694639	2020-06-16	2020-12-12	North America / USA / Arizona
EPI_ISL_676968	2020-04-10	2020-12-04	North America / USA / New York / Nassau County
EPI_ISL_639765	2020-03-25	2020-11-17	Oceania / Australia / Queensland
EPI_ISL_632266	2020-06-21	2020-11-09	Asia / Bahrain
EPI_ISL_676766	2020-03-25	2020-12-04	North America / USA / New York / Schoharie County
EPI_ISL_645043	2020-05-12	2020-11-18	Europe / Poland
EPI_ISL_632967	2020-03-18	2020-11-12	North America / USA / New York / New York City
EPI_ISL_665167	2020-03-25	2020-11-30	Europe / United Kingdom / England
EPI_ISL_676566	2020-04-18	2020-12-04	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_690867	2020-03-30	2020-12-10	Asia / Japan
EPI_ISL_632167	2020-03-19	2020-11-11	North America / USA / New York / New York City
EPI_ISL_667039	2020-06-19	2020-12-02	North America / USA / California / San Diego
EPI_ISL_641539	2020-03-23	2020-11-18	Europe / France / Auvergne-Rhone-Alpes / Saint-Etienne
EPI_ISL_648767	2020-05-08	2020-11-21	Asia / Singapore
EPI_ISL_676768	2020-03-30	2020-12-04	North America / USA / New York / Oneida County
EPI_ISL_688468	2020-06-15	2020-12-10	Asia / Japan
EPI_ISL_694068	2020-04-07	2020-12-12	North America / USA / Arizona
EPI_ISL_648768	2020-05-09	2020-11-21	Asia / Singapore
EPI_ISL_687568	2020-06-30	2020-12-10	Asia / Japan / Hokkaido
EPI_ISL_649068	2020-03-10	2020-11-22	Asia / Israel / Beer-Sheva
EPI_ISL_653268	2020-03-11	2020-11-23	North America / USA / Florida
EPI_ISL_687069	2020-05-14	2020-12-10	Asia / Japan / Kanagawa
EPI_ISL_695970	2020-04-13	2020-12-12	North America / USA / Arizona
EPI_ISL_636172	2020-06-05	2020-11-13	North America / USA / California / San Diego
EPI_ISL_676573	2020-04-18	2020-12-04	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_636074	2020-06-03	2020-11-13	North America / USA / California / San Diego
EPI_ISL_672169	2020-06-03	2020-12-03	North America / USA / California / Santa Clara County
EPI_ISL_690969	2020-04-21	2020-12-10	Asia / Japan
EPI_ISL_666669	2020-04-08	2020-12-01	Europe / France / Auvergne-Rhone-Alpes / Saint-Julien-en-Genevois
EPI_ISL_653269	2020-03-11	2020-11-23	North America / USA / Florida
EPI_ISL_691176	2020-04-19	2020-12-10	Asia / Japan / Toyama
EPI_ISL_684769	2020-04-04	2020-12-10	Asia / Japan / Ishikawa
EPI_ISL_684870	2020-04-16	2020-12-10	Asia / Japan / Niigata
EPI_ISL_681877	2020-06-22	2020-12-08	North America / USA / Texas / Hidalgo
EPI_ISL_694070	2020-04-07	2020-12-12	North America / USA / Arizona
EPI_ISL_693070	2020-05-03	2020-12-10	North America / USA / Massachusetts
EPI_ISL_685970	2020-05-29	2020-12-10	Asia / Japan / Tokyo
EPI_ISL_686870	2020-04-20	2020-12-10	Asia / Japan / Tochigi
EPI_ISL_690971	2020-04-21	2020-12-10	Asia / Japan
EPI_ISL_632171	2020-03-22	2020-11-11	North America / USA / New York / New York City
EPI_ISL_644271	2020-04-26	2020-11-18	Europe / Ireland / Dublin
EPI_ISL_694071	2020-04-06	2020-12-12	North America / USA / Arizona
EPI_ISL_691971	2020-04-15	2020-12-10	Asia / Japan / Fukuoka
EPI_ISL_681972	2020-04-13	2020-12-08	North America / USA / Pennsylvania / Allegheny County / Pittsburgh
EPI_ISL_692972	2020-05-18	2020-12-10	North America / USA / Massachusetts
EPI_ISL_686072	2020-04-16	2020-12-10	Asia / Japan / Ehime
EPI_ISL_690672	2020-05-08	2020-12-10	Asia / Japan / Saitama
EPI_ISL_632872	2020-03-27	2020-11-11	North America / USA / Idaho
EPI_ISL_635273	2020-04-25	2020-11-13	Europe / Slovenia
EPI_ISL_636173	2020-05-27	2020-11-13	North America / USA / California / San Diego
EPI_ISL_690773	2020-04-15	2020-12-10	Asia / Japan / Miyagi
EPI_ISL_685573	2020-04-29	2020-12-10	Asia / Japan / Saitama
EPI_ISL_676574	2020-04-05	2020-12-04	Europe / Serbia / Subotica
EPI_ISL_686874	2020-06-01	2020-12-10	Asia / Japan / Tochigi
EPI_ISL_690674	2020-05-12	2020-12-10	Asia / Japan / Saitama
EPI_ISL_685974	2020-05-29	2020-12-10	Asia / Japan / Tokyo
EPI_ISL_688475	2020-06-28	2020-12-10	Asia / Japan
EPI_ISL_676875	2020-04-23	2020-12-04	North America / USA / New York / Fulton County
EPI_ISL_694975	2020-06-25	2020-12-12	North America / USA / Arizona
EPI_ISL_645095	2020-05-10	2020-11-18	Europe / Poland
EPI_ISL_684276	2020-04-12	2020-12-10	Asia / Japan / Gunma
EPI_ISL_635476	2020-06-30	2020-11-13	North America / USA / California / San Diego
EPI_ISL_690928	2020-04-11	2020-12-10	Asia / Japan
EPI_ISL_693076	2020-05-02	2020-12-10	North America / USA / Massachusetts
EPI_ISL_660476	2020-06-21	2020-11-26	Africa / Burkina Faso / Batié
EPI_ISL_636196	2020-05-27	2020-11-13	North America / USA / California / San Diego
EPI_ISL_684776	2020-04-09	2020-12-10	Asia / Japan / Ishikawa
EPI_ISL_694476	2020-06-02	2020-12-12	North America / USA / Arizona
EPI_ISL_648777	2020-05-11	2020-11-21	Asia / Singapore
EPI_ISL_693277	2020-03-21	2020-12-11	Oceania / Australia / Queensland
EPI_ISL_691977	2020-04-15	2020-12-10	Asia / Japan / Fukuoka
EPI_ISL_685998	2020-04-06	2020-12-10	Asia / Japan / Saitama
EPI_ISL_649077	2020-03-10	2020-11-22	Asia / Israel / Jerusalem
EPI_ISL_676578	2020-05-01	2020-12-04	Europe / Serbia / Novi Sad
EPI_ISL_663278	2020-04-04	2020-11-30	Europe / France / Pays de la Loire / Nantes
EPI_ISL_636178	2020-05-27	2020-11-13	North America / USA / California / San Diego
EPI_ISL_684278	2020-04-13	2020-12-10	Asia / Japan / Gunma
EPI_ISL_678278	2020-03-20	2020-12-06	Europe / Russia / Moscow
EPI_ISL_685578	2020-05-06	2020-12-10	Asia / Japan / Saitama
EPI_ISL_677978	2020-06-11	2020-12-06	Asia / Saudi Arabia / Madinah
EPI_ISL_632178	2020-03-23	2020-11-11	North America / USA / New York / New York City
EPI_ISL_694078	2020-04-08	2020-12-12	North America / USA / Arizona
EPI_ISL_685378	2020-04-26	2020-12-10	Asia / Japan / Ishikawa
EPI_ISL_645178	2020-03-09	2020-11-20	Europe / France / Nouvelle-Aquitaine / Limoges
EPI_ISL_686078	2020-05-21	2020-12-10	Asia / Japan / Ehime
EPI_ISL_690979	2020-04-20	2020-12-10	Asia / Japan
EPI_ISL_632879	2020-03-22	2020-11-11	North America / USA / Idaho
EPI_ISL_647999	2020-03-09	2020-11-20	North America / USA / Iowa
EPI_ISL_685979	2020-05-31	2020-12-10	Asia / Japan / Tokyo
EPI_ISL_671379	2020-04-01	2020-12-02	Europe / Ireland / Monaghan
EPI_ISL_685379	2020-04-26	2020-12-10	Asia / Japan / Ishikawa
EPI_ISL_661279	2020-04-06	2020-11-30	Europe / Sweden / Ostergotland
EPI_ISL_687979	2020-06-23	2020-12-10	Asia / Japan / Hokkaido
EPI_ISL_648079	2020-03-18	2020-11-20	Asia / Singapore
EPI_ISL_687980	2020-06-23	2020-12-10	Asia / Japan / Hokkaido
EPI_ISL_661180	2020-06-15	2020-11-28	Europe / Serbia / Novi Sad
EPI_ISL_678080	2020-03-23	2020-12-06	Asia / Saudi Arabia / Makkah
EPI_ISL_694980	2020-06-25	2020-12-12	North America / USA / Arizona
EPI_ISL_648180	2020-06-26	2020-11-20	Europe / Sweden / Skane
EPI_ISL_649080	2020-03-08	2020-11-22	Asia / Israel / Modiin
EPI_ISL_653880	2020-05-21	2020-11-24	Asia / India / Haryana / Gurugram
EPI_ISL_632180	2020-03-24	2020-11-11	North America / USA / New York / New York City
EPI_ISL_688780	2020-04-08	2020-12-10	Asia / Japan / Shiga
EPI_ISL_691180	2020-04-20	2020-12-10	Asia / Japan / Toyama
EPI_ISL_678280	2020-04-29	2020-12-06	Europe / Russia / Saratov
EPI_ISL_690880	2020-04-02	2020-12-10	Asia / Japan
EPI_ISL_681880	2020-06-22	2020-12-08	North America / USA / Texas / Hidalgo
EPI_ISL_678125	2020-04-26	2020-12-06	Asia / Saudi Arabia / Makkah
EPI_ISL_685480	2020-05-01	2020-12-10	Asia / Japan / Tokyo
EPI_ISL_691452	2020-04-12	2020-12-10	Asia / Japan / Ishikawa
EPI_ISL_684752	2020-04-17	2020-12-10	Asia / Japan / Hyogo
EPI_ISL_692981	2020-05-15	2020-12-10	North America / USA / Massachusetts
EPI_ISL_684981	2020-04-07	2020-12-10	Asia / Japan / Saitama
EPI_ISL_636181	2020-06-01	2020-11-13	North America / USA / California / San Diego
EPI_ISL_677681	2020-04-11	2020-12-05	North America / USA / New York / New York
EPI_ISL_690781	2020-04-06	2020-12-10	Asia / Japan / Tokyo
EPI_ISL_635281	2020-04-01	2020-11-13	Europe / Slovenia
EPI_ISL_694581	2020-05-22	2020-12-12	North America / USA / Arizona
EPI_ISL_661281	2020-05-26	2020-11-30	Europe / Sweden / Jonkoping
EPI_ISL_694723	2020-06-22	2020-12-12	North America / USA / Arizona
EPI_ISL_691081	2020-04-14	2020-12-10	Asia / Japan / Kanagawa
EPI_ISL_690953	2020-04-12	2020-12-10	Asia / Japan
EPI_ISL_690981	2020-06-22	2020-12-10	Asia / Japan / Hyogo
EPI_ISL_676981	2020-03-21	2020-12-04	North America / USA / New York / Westchester County
