Accession ID	Collection date	Submission date	Location
EPI_ISL_515264	2020-06-24	2020-08-18	North America / USA / Minnesota
EPI_ISL_510567	2020-05-09	2020-08-07	Asia / South Korea
EPI_ISL_526767	2020-04-25	2020-09-02	Europe / United Kingdom / England
EPI_ISL_508767	2020-03-11	2020-08-04	North America / USA / Florida
EPI_ISL_526467	2020-04-14	2020-09-01	Europe / United Kingdom / Scotland
EPI_ISL_513266	2020-06-20	2020-08-12	North America / USA / Florida / Miami-Dade County / Miami
EPI_ISL_509067	2020-04-28	2020-08-05	North America / USA / Oregon / Washington County
EPI_ISL_529067	2020-06-08	2020-09-10	South America / Peru / Lambayeque / Chiclayo
EPI_ISL_523667	2020-06-24	2020-08-26	Europe / Netherlands / Zuid-Holland
EPI_ISL_518867	2020-03-29	2020-08-25	North America / USA / Minnesota
EPI_ISL_512969	2020-04-30	2020-08-12	Asia / Saudi Arabia / Jeddah
EPI_ISL_514867	2020-06-08	2020-08-18	Asia / South Korea
EPI_ISL_512568	2020-06-28	2020-08-11	North America / USA / Florida
EPI_ISL_516668	2020-04-30	2020-08-21	North America / USA / Virginia
EPI_ISL_511668	2020-03-31	2020-08-08	Europe / Portugal
EPI_ISL_513468	2020-03-15	2020-08-13	North America / USA / Maine
EPI_ISL_522071	2020-06-26	2020-08-25	Oceania / Australia / Victoria
EPI_ISL_515271	2020-03-30	2020-08-18	North America / USA / Washington
EPI_ISL_513572	2020-04-24	2020-08-13	South America / Brazil / Rio de Janeiro
EPI_ISL_514072	2020-04-21	2020-08-14	North America / USA
EPI_ISL_515273	2020-03-31	2020-08-18	North America / USA / Washington
EPI_ISL_513269	2020-06-26	2020-08-12	North America / USA / Florida / Miami-Dade County / Miami
EPI_ISL_509469	2020-05-25	2020-08-05	North America / USA / Maryland
EPI_ISL_516676	2020-04-30	2020-08-21	North America / USA / Virginia
EPI_ISL_527476	2020-04-15	2020-09-02	North America / USA / Colorado
EPI_ISL_511369	2020-03-25	2020-08-07	Europe / Portugal
EPI_ISL_525570	2020-03-16	2020-08-31	Europe / Italy / Apulia / Brindisi
EPI_ISL_527670	2020-04-22	2020-09-04	North America / USA / Minnesota
EPI_ISL_512470	2020-06-05	2020-08-11	Europe / United Kingdom / Scotland
EPI_ISL_512966	2020-04-30	2020-08-12	Asia / Saudi Arabia / Jeddah
EPI_ISL_515967	2020-05-14	2020-08-20	Asia / India / Karnataka
EPI_ISL_523367	2020-05-14	2020-08-26	Europe / Netherlands / Noord-Brabant
EPI_ISL_521467	2020-06-29	2020-08-25	Oceania / Australia / Victoria
EPI_ISL_511518	2020-03-28	2020-08-08	Europe / Portugal
EPI_ISL_512269	2020-06-26	2020-08-11	North America / USA / California / San Diego County
EPI_ISL_510268	2020-03-12	2020-08-06	Europe / Spain / Galicia / Noya
EPI_ISL_526569	2020-05-21	2020-09-01	North America / USA / Florida
EPI_ISL_518869	2020-03-23	2020-08-25	North America / USA / Minnesota
EPI_ISL_510569	2020-05-08	2020-08-07	Asia / South Korea
EPI_ISL_524469	2020-05-05	2020-08-28	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_515276	2020-03-31	2020-08-18	North America / USA / Washington
EPI_ISL_513769	2020-05-31	2020-08-13	North America / USA / California / Orange County
EPI_ISL_514750	2020-04-17	2020-08-17	Europe / Russia / Moscow
EPI_ISL_522170	2020-06-26	2020-08-25	Oceania / Australia / Victoria
EPI_ISL_526470	2020-04-01	2020-09-01	Europe / United Kingdom / Scotland
EPI_ISL_522780	2020-05-12	2020-08-26	North America / USA / Virginia
EPI_ISL_524480	2020-03-03	2020-08-28	Europe / Switzerland / Aargau
EPI_ISL_525671	2020-04-10	2020-08-31	North America / USA / New York
EPI_ISL_514671	2020-03-26	2020-08-17	North America / USA / Minnesota
EPI_ISL_510871	2020-06-15	2020-08-07	Europe / Sweden / Ostergotland
EPI_ISL_525268	2020-05-15	2020-08-28	North America / USA / Utah
EPI_ISL_516372	2020-03-31	2020-08-20	North America / USA / Michigan
EPI_ISL_524938	2020-06-22	2020-08-28	North America / USA / Utah
EPI_ISL_522272	2020-04-26	2020-08-25	North America / USA / Utah
EPI_ISL_525684	2020-04-15	2020-08-31	North America / USA / New York
EPI_ISL_523472	2020-03-19	2020-08-26	Europe / Netherlands
EPI_ISL_523284	2020-06-03	2020-08-26	Europe / Netherlands / Limburg
