Accession ID	Collection date	Submission date	Location
EPI_ISL_3568033	2020-03-20	2021-08-23	Oceania / Australia / New South Wales / Sydney
EPI_ISL_2135964	2020-05-11	2021-05-17	North America / USA / Arizona / Pinal
EPI_ISL_2536966	2020-04-30	2021-06-15	North America / USA / Arizona / Pinal
EPI_ISL_2658165	2020-05-11	2021-06-23	North America / USA / Kansas
EPI_ISL_2775466	2020-06-12	2021-07-02	South America / Brazil / Parana
EPI_ISL_2803366	2020-06-28	2021-07-04	Africa / Zambia / Lusaka / Chirundu
EPI_ISL_2659766	2020-03-22	2021-06-24	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_2869966	2020-06-18	2021-07-09	Europe / Germany / North Rhine-Westphalia / Guetersloh
EPI_ISL_2894665	2020-06-23	2021-07-11	North America / USA / South Carolina / Parris Island
EPI_ISL_2976216	2020-04-01	2021-07-16	North America / USA / Idaho
EPI_ISL_4070766	2020-03-30	2021-09-10	Europe / Sweden / Stockholm
EPI_ISL_2737765	2020-04-02	2021-06-30	Europe / United Kingdom / England
EPI_ISL_2643967	2020-04-03	2021-06-22	Europe / Slovenia
EPI_ISL_2870967	2020-06-16	2021-07-09	Europe / Germany / North Rhine-Westphalia / Guetersloh
EPI_ISL_3050767	2020-03-19	2021-07-23	Europe / Czech Republic / Prague
EPI_ISL_2712667	2020-04-14	2021-06-28	North America / Mexico / Baja California / Mexicali
EPI_ISL_2871467	2020-06-20	2021-07-09	Europe / Germany / North Rhine-Westphalia / Guetersloh
EPI_ISL_2229867	2020-06-10	2021-05-23	North America / USA / New Jersey
EPI_ISL_4405667	2020-06-19	2021-09-22	South America / Argentina / Buenos Aires / Olavarría
EPI_ISL_2368067	2020-05-24	2021-06-01	North America / USA / Ohio
EPI_ISL_2884968	2020-04-06	2021-07-09	North America / USA / Maryland
EPI_ISL_2871368	2020-06-19	2021-07-09	Europe / Germany / North Rhine-Westphalia / Guetersloh
EPI_ISL_4219866	2020-05-25	2021-09-15	North America / Mexico / Mexico City
EPI_ISL_2658166	2020-05-11	2021-06-23	North America / USA / Kansas
EPI_ISL_2229866	2020-06-10	2021-05-23	North America / USA / New Jersey
EPI_ISL_2884966	2020-04-07	2021-07-09	North America / USA / Maryland
EPI_ISL_2970866	2020-05-18	2021-07-16	North America / Canada / Quebec
EPI_ISL_2643966	2020-04-02	2021-06-22	Europe / Slovenia
EPI_ISL_2596765	2020-04-01	2021-06-17	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_2870867	2020-06-16	2021-07-09	Europe / Germany / North Rhine-Westphalia / Guetersloh
EPI_ISL_2650167	2020-05-27	2021-06-23	North America / USA / Arizona / Navajo
EPI_ISL_4219867	2020-06-04	2021-09-15	North America / Mexico / Mexico City
