Accession ID	Collection date	Submission date	Location
EPI_ISL_12416167	2020-04-10	2022-04-29	North America / USA / Maryland
EPI_ISL_13688567	2020-06-01	2022-07-06	North America / USA / Wisconsin
EPI_ISL_13683567	2020-05-27	2022-07-06	North America / USA / Minnesota
EPI_ISL_13498167	2020-04-26	2022-06-27	South America / Brazil / Acre / Rio Branco
EPI_ISL_13595167	2020-05-13	2022-07-02	North America / USA / Minnesota / Stearns County
EPI_ISL_7505767	2020-06-01	2021-12-11	North America / USA / Texas / Houston
EPI_ISL_13682668	2020-06-14	2022-07-06	North America / USA / Minnesota
EPI_ISL_13782068	2020-05-13	2022-07-12	North America / USA / Maryland
EPI_ISL_12828363	2020-05-04	2022-05-20	North America / USA / Ohio
EPI_ISL_12150192	2020-04-16	2022-04-20	North America / USA / New York
EPI_ISL_13682169	2020-06-04	2022-07-06	North America / USA / Minnesota
EPI_ISL_13490969	2020-05-01	2022-06-27	North America / USA / Maryland
EPI_ISL_13279791	2020-04-06	2022-06-14	Europe / Belgium / Flanders
EPI_ISL_13679766	2020-05-30	2022-07-06	North America / USA / Minnesota
EPI_ISL_7617467	2020-03-20	2021-12-13	North America / Canada / Quebec
EPI_ISL_13596268	2020-06-02	2022-07-02	North America / USA / Minnesota / Olmsted County
EPI_ISL_13685168	2020-05-21	2022-07-06	North America / USA / Minnesota
EPI_ISL_11018473	2020-04-30	2022-03-15	North America / Mexico / Yucatan
EPI_ISL_7505669	2020-05-26	2021-12-11	North America / USA / Texas / Houston
EPI_ISL_13688369	2020-06-19	2022-07-06	North America / USA / Minnesota
EPI_ISL_13782069	2020-05-10	2022-07-12	North America / USA / Maryland
EPI_ISL_13599769	2020-05-19	2022-07-02	North America / USA / Minnesota / Sherburne County
EPI_ISL_13279767	2020-03-26	2022-06-14	Europe / Belgium / Brussels
EPI_ISL_10952574	2020-04-19	2022-03-11	North America / USA / Maryland
EPI_ISL_10879432	2020-03-26	2022-03-10	North America / USA / Maryland
EPI_ISL_10879422	2020-03-14	2022-03-10	North America / USA / Maryland
EPI_ISL_13677770	2020-05-20	2022-07-06	North America / USA / Minnesota
EPI_ISL_8095491	2020-06-23	2021-12-27	North America / USA / California / Sonoma County
EPI_ISL_8095510	2020-05-21	2021-12-27	North America / USA / California / Sonoma County
EPI_ISL_13601671	2020-06-05	2022-07-02	North America / USA / Minnesota / Rice County
EPI_ISL_13491171	2020-05-01	2022-06-27	North America / USA / Maryland
EPI_ISL_10989156	2020-04-29	2022-03-14	Asia / Japan / Hiroshima
EPI_ISL_7505671	2020-06-28	2021-12-11	North America / USA / Texas / Houston
EPI_ISL_13600672	2020-05-31	2022-07-02	North America / USA / Minnesota / Carver County
EPI_ISL_13498172	2020-03-21	2022-06-27	South America / Brazil / Acre / Rio Branco
EPI_ISL_13921351	2020-06-04	2022-07-19	South America / Brazil / Rio de Janeiro / Macae
EPI_ISL_12171329	2020-03-10	2022-04-20	North America / USA / Maryland
EPI_ISL_13681273	2020-05-27	2022-07-06	North America / USA / Minnesota
EPI_ISL_13921360	2020-06-25	2022-07-19	South America / Brazil / Rio de Janeiro / Macae
EPI_ISL_7505873	2020-05-19	2021-12-11	North America / USA / Texas / Houston
EPI_ISL_13644368	2020-05-07	2022-07-05	North America / USA / Maryland
EPI_ISL_13644426	2020-05-08	2022-07-05	North America / USA / Maryland
EPI_ISL_13494012	2020-04-29	2022-06-28	North America / USA / Illinois / Cook County
EPI_ISL_8009356	2020-04-27	2021-12-23	North America / USA / Illinois / Winnebago County, IL
EPI_ISL_13494023	2020-05-06	2022-06-28	North America / USA / Illinois / Chicago
EPI_ISL_13494030	2020-04-01	2022-06-28	North America / USA / Illinois / Chicago
EPI_ISL_13687575	2020-06-03	2022-07-06	North America / USA / Minnesota
EPI_ISL_12846182	2020-03-18	2022-05-23	Oceania / Australia / Victoria
EPI_ISL_8110944	2020-04-26	2021-12-27	Asia / Japan / Shimane
EPI_ISL_12846183	2020-03-17	2022-05-23	Oceania / Australia / Victoria
EPI_ISL_13685976	2020-05-27	2022-07-06	North America / USA / Minnesota
EPI_ISL_13896670	2020-03-28	2022-07-18	North America / USA / Illinois / Chicago
EPI_ISL_13688077	2020-05-18	2022-07-06	North America / USA / Minnesota
EPI_ISL_13681277	2020-05-31	2022-07-06	North America / USA / Minnesota
EPI_ISL_13686077	2020-06-08	2022-07-06	North America / USA / Minnesota
EPI_ISL_15266749	2020-04-08	2022-10-06	Africa / Kenya / Nairobi
EPI_ISL_7617615	2020-03-28	2021-12-13	North America / Canada / Quebec
EPI_ISL_8767192	2020-03-04	2022-01-17	Oceania / Australia / New South Wales / Sydney
EPI_ISL_7505679	2020-05-19	2021-12-11	North America / USA / Texas / Houston
EPI_ISL_13491179	2020-05-13	2022-06-27	North America / USA / Maryland
EPI_ISL_7690899	2020-05-01	2021-12-15	North America / Canada / Quebec
EPI_ISL_13644202	2020-05-03	2022-07-05	North America / USA / Maryland
EPI_ISL_13285684	2020-04-28	2022-06-14	North America / USA / Maryland
